Date,Start Time,End Time,Code,Subject_en,Subject_th,Credits,Note,Section,Section_Type_en,Section_Type_th,Building,Room,Instructor_th,Instructor_en,Proctor
2026-03-16,9:00,12:00,01213219,Materials Processing Laboratory,ปฏิบัติการกระบวนการแปรรูปวัสดุ,1,"CB CN
ไม่อนุญาต เครื่องคิดเลข",251,Laboratory,ปฏิบัติ,อาคาร 14,410,"อัมพิกา บันสิทธิ์(ผู้กรอกเกรด) ,สมเจตน์ พัชรพันธ์ ,นุชนภา ตั้งบริบูรณ์","Ampika Bansiddhi(Master) ,Somjate Patcharaphun ,Nuchnapa Tangboriboon","นางสาวนุชนภา ตั้งบริบูรณ์
นายสุทธิพงศ์ จันทร์ภักดี
นางสาวจิราพร บัวสาย"
2026-03-16,9:00,12:00,01213219,Materials Processing Laboratory,ปฏิบัติการกระบวนการแปรรูปวัสดุ,1,"CB CN
ไม่อนุญาต เครื่องคิดเลข",252,Laboratory,ปฏิบัติ,อาคาร 14,410,"อัมพิกา บันสิทธิ์(ผู้กรอกเกรด) ,สมเจตน์ พัชรพันธ์ ,นุชนภา ตั้งบริบูรณ์","Ampika Bansiddhi(Master) ,Somjate Patcharaphun ,Nuchnapa Tangboriboon","นางสาวนุชนภา ตั้งบริบูรณ์
นายสุทธิพงศ์ จันทร์ภักดี
นางสาวจิราพร บัวสาย"
2026-03-16,9:00,12:00,01215241,Fundamentals of Fluid Dynamics,หลักมูลพลศาสตร์ของไหล,3,"CB CN
อนุญาต เครื่องคิดเลข P ไม่ต้อง Reset เครื่อง
อนุญาต เครื่องคิดเลข NP ไม่ต้อง Reset เครื่อง",1,Lecture,บรรยาย,อาคาร 11,N801,เวชพงศ์ ชุติชูเดช(ผู้กรอกเกรด),Vejapong Juttijudata(Master),"นายเวชพงศ์ ชุติชูเดช
นางจินดา ทิวะพันธุ์"
2026-03-16,9:00,12:00,01218216,Construction Surveying,การสำรวจเพื่อการก่อสร้าง,1,"CB CN
อนุญาต เครื่องคิดเลข P ต้อง Reset เครื่อง
อนุญาต เครื่องคิดเลข NP ไม่ต้อง Reset เครื่อง",250,Laboratory,ปฏิบัติ,อาคาร 11,N802,กิตติพศ ประภัศร(ผู้กรอกเกรด),Kittipos Prapassorn(Master),"นายกิตติพศ ประภัศร
นางสาคร ศรีกาฬสินธุ์"
2026-03-16,13:00,16:00,01203455,Principles of Rock Mechanics and Tunneling,หลักการกลศาสตร์ของหินและงานอุโมงค์,3,"CB CN
อนุญาต เครื่องคิดเลข P ต้อง Reset เครื่อง
อนุญาต เครื่องคิดเลข NP ไม่ต้อง Reset เครื่อง",1,Lecture,บรรยาย,อาคาร 11,N810,ทวีศักดิ์ ปิติคุณพงศ์สุข(ผู้กรอกเกรด),Thaweesak Pitikhunpongsuk(Master),นายทวีศักดิ์ ปิติคุณพงศ์สุข
2026-03-16,13:00,16:00,01204421,Computer Networks,เครือข่ายคอมพิวเตอร์,3,"CB CN
ไม่อนุญาต เครื่องคิดเลข",1,Lecture,บรรยาย,อาคาร 11,N703,"อนันต์ ผลเพิ่ม(ผู้กรอกเกรด) ,อภิรักษ์ จันทร์สร้าง","Anan Phonphoem(Master) ,Aphirak Jansang","นายอนันต์ ผลเพิ่ม
นางสาวกชพร กันสัตรู"
2026-03-16,13:00,16:00,01204421,Computer Networks,เครือข่ายคอมพิวเตอร์,3,"CB CN
ไม่อนุญาต เครื่องคิดเลข",1,Lecture,บรรยาย,อาคาร 11,N706,"อนันต์ ผลเพิ่ม(ผู้กรอกเกรด) ,อภิรักษ์ จันทร์สร้าง","Anan Phonphoem(Master) ,Aphirak Jansang","นายอภิรักษ์ จันทร์สร้าง
นางสาวปิยนาถ เทียนเล็ก"
2026-03-16,13:00,16:00,01205202,Electrical Engineering Laboratory I,ปฏิบัติการวิศวกรรมไฟฟ้า I,1,"CB CN
อนุญาต เครื่องคิดเลข เครื่องคิดเลขรุ่นคณะแจก NP ไม่ต้อง Reset เครื่อง",251,Laboratory,ปฏิบัติ,อาคาร 11,N701,นพดา ธีรอัจฉริยกุล(ผู้กรอกเกรด),Noppada Teera-achariyakul(Master),"นายณัฐวุฒิ ชินธเนศ
นางสาวชุติมา โพธิ์ทอง"
2026-03-16,13:00,16:00,01205202,Electrical Engineering Laboratory I,ปฏิบัติการวิศวกรรมไฟฟ้า I,1,"CB CN
อนุญาต เครื่องคิดเลข เครื่องคิดเลขรุ่นคณะแจก NP ไม่ต้อง Reset เครื่อง",13,Laboratory,ปฏิบัติ,อาคาร 14,204,นพดา ธีรอัจฉริยกุล(ผู้กรอกเกรด),Noppada Teera-achariyakul(Master),"นางปฐมาภรณ์ ศรีผดุงธรรม
นายวรฐ คูหิรัญ"
2026-03-16,13:00,16:00,01205202,Electrical Engineering Laboratory I,ปฏิบัติการวิศวกรรมไฟฟ้า I,1,"CB CN
อนุญาต เครื่องคิดเลข เครื่องคิดเลขรุ่นคณะแจก NP ไม่ต้อง Reset เครื่อง",252,Laboratory,ปฏิบัติ,อาคาร 14,205,นพดา ธีรอัจฉริยกุล(ผู้กรอกเกรด),Noppada Teera-achariyakul(Master),"นายธนากร ฆ้องเดช
นางสาวนริศรา สังฆะขี"
